Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0135427022776655,0.00237368886127913,0.0911475646666017,0,0,0,1.59483552,0.01390300058104,8.34099127220805E-20,6.53256743568878E-20,0.0285974954758624,-7.98437892769272E-21,0.0352539264984576,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/base_link.STL,,assembly_to_part_v2-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
xbar_top_frame,0.000811499096929708,8.32667268468867E-16,0.1957,0,0,0,0.180967186857142,0.000721536956668615,-2.7642978576952E-19,1.94393259520479E-19,0.003879590641316,1.13519323061358E-19,0.00459369904571848,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/xbar_top_frame.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/xbar_top_frame.STL,,assembly_to_part_v2-3,Origin_xbar_to_chassis_joint,Axis_xbar_to_chassis_joint,xbar_to_chassis_joint,fixed,0.0176427022776656,-0.000626311138720845,0.0245815452491259,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rocker_to_frame_mount_left,0.00190000079764292,-0.194277679658848,0.187230370865528,0,0,0,0.0178174846110633,1.64411942078336E-06,-6.08082946633823E-14,2.61335301810849E-15,8.9149566286252E-06,1.87998295961392E-07,8.30298452857927E-06,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/rocker_to_frame_mount_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/rocker_to_frame_mount_left.STL,,assembly_to_part_v2-14,Origin_rocker_to_frame_mount_left_joint,Axis_rocker_to_frame_mount_left_joint,rocker_to_frame_mount_left_joint,fixed,0.0038,0,0,0,0,3.14159265358979,xbar_top_frame,0,0,0,,,,,,,,,,,,
left_rocker,-0.145741143663234,-0.0146489091382667,-0.0386401086913282,0,0,0,0.238601333424936,6.56386397841031E-05,-3.22464227159727E-07,6.39601909179775E-05,0.00112588477072356,-1.29107457638619E-06,0.00108818807546615,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_rocker.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_rocker.STL,,assembly_to_part_v2-15,Origin_left_rocker_joint,Axis_left_rocker_joint,left_rocker_joint,continuous,0.00189999999999785,-0.2008,0.173199999999999,0,0.205218691223717,0,rocker_to_frame_mount_left,0,1,0,,,,,,,,,,,,
left_rocker_wheel_strut,0.00463075086736053,-0.0474614628973919,-0.172551230026844,0,0,0,0.215297840696796,0.000267687983183879,1.7674360958032E-06,1.40170206954177E-06,0.000248397370479286,-1.54188756477438E-05,5.77461596511164E-05,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_rocker_wheel_strut.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_rocker_wheel_strut.STL,,assembly_to_part_v2-21,Origin_left_rocker_wheel_strut_joint,Axis_left_rocker_wheel_strut_joint,left_rocker_wheel_strut_joint,continuous,-0.436500004239615,-0.01475,-0.0611007329555057,0,0,3.04933024079565,left_rocker,0,0,1,,,,,,,,,,,,
front_left_wheel,-0.00483668113983005,0.0213634172584402,-1.74860126378462E-15,0,0,0,0.592760238512045,0.0012756713003382,-0.000202280629685217,3.79470760369927E-19,0.00212333997025137,-1.49077798716757E-18,0.00122987493289774,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/front_left_wheel.STL,,assembly_to_part_v2-22,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,0.000373462813278103,3.39194206695481E-05,-0.226836767044501,-3.08115374387749,0.26072091977244,-2.82044418134632,left_rocker_wheel_strut,0.220811799511534,-0.975316435418002,0,,,,,,,,,,,,
left_bogie,0.0759568398824179,-0.0146925582517434,0.00797636955766212,0,0,0,0.191498434857371,0.000499608172377785,-1.18339942707917E-10,-0.000888438614705919,0.00218514017414647,1.25070233350833E-09,0.00170716647882503,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_bogie.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_bogie.STL,,assembly_to_part_v2-26,Origin_left_bogie_joint,Axis_left_bogie_joint,left_bogie_joint,continuous,0.191978071510022,0,-0.130588977226116,0,-0.316495515015275,0,left_rocker,0,1,0,,,,,,,,,,,,
left_middle_wheel,-0.0132827324711452,0.0586692709131831,-1.346145417358E-15,0,0,0,0.592760238512045,0.0012756713003382,-0.000202280629685218,2.71050543121376E-19,0.00212333997025137,-1.9312351197398E-18,0.00122987493289774,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_middle_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_middle_wheel.STL,,assembly_to_part_v2-19,Origin_left_middle_wheel_joint,Axis_left_middle_wheel_joint,left_middle_wheel_joint,continuous,-0.220157828209466,0,-0.145023978949895,-3.06072262662052,0.342728964216389,0.236649656298727,left_bogie,0.220811799511535,-0.975316435418002,0,,,,,,,,,,,,
left_bogie_wheel_strut,0.00463075063698404,-0.0474614621520017,-0.107848205067026,0,0,0,0.215297841060573,0.000267687983572951,1.76743593733556E-06,1.40170220688109E-06,0.000248397370343526,-1.54188765408756E-05,5.77461604673897E-05,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_bogie_wheel_strut.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/left_bogie_wheel_strut.STL,,assembly_to_part_v2-23,Origin_left_bogie_wheel_strut_joint,Axis_left_bogie_wheel_strut_joint,left_bogie_wheel_strut_joint,continuous,0.282426325346583,-0.014875000000001,0,0,0,2.92666748379435,left_bogie,0,0,1,,,,,,,,,,,,
front_back_wheel,-0.0057199283378741,0.0252646830001106,-2.16493489801906E-15,0,0,0,0.592760238512045,0.0012756713003382,-0.000202280629685217,1.89735380184963E-19,0.00212333997025137,1.49077798716757E-19,0.00122987493289774,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/front_back_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/front_back_wheel.STL,,assembly_to_part_v2-24,Origin_front_back_wheel_joint,Axis_front_back_wheel_joint,front_back_wheel_joint,continuous,0.000373462813279157,3.39194206695204E-05,-0.162133741980369,-0.540911922792394,1.15655588476994,-0.490122742369759,left_bogie_wheel_strut,0.220811799511534,-0.975316435418002,0,,,,,,,,,,,,
rocker_to_frame_mount_right,0.00190000079764291,-0.194277679658848,0.187230370865528,0,0,0,0.0178174846110633,1.64411942078337E-06,-6.08082948069306E-14,2.61335167981754E-15,8.91495662862521E-06,1.87998295961393E-07,8.30298452857928E-06,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/rocker_to_frame_mount_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Mars-Rover-URDF/meshes/rocker_to_frame_mount_right.STL,,assembly_to_part_v2-4,Origin_rocker_to_frame_mount_right_joint,Axis_rocker_to_frame_mount_right_joint,rocker_to_frame_mount_right_joint,fixed,0,0,0,0,0,0,xbar_top_frame,0,0,0,,,,,,,,,,,,
